<http://ml1m-sun/genre>	<http://ml1m-sun/genre0>	cluster251
<http://ml1m-sun/genre>	<http://ml1m-sun/genre10>	cluster251
<http://ml1m-sun/genre>	<http://ml1m-sun/genre11>	cluster250
<http://ml1m-sun/genre>	<http://ml1m-sun/genre12>	cluster254
<http://ml1m-sun/genre>	<http://ml1m-sun/genre13>	cluster250
<http://ml1m-sun/genre>	<http://ml1m-sun/genre14>	cluster253
<http://ml1m-sun/genre>	<http://ml1m-sun/genre15>	cluster254
<http://ml1m-sun/genre>	<http://ml1m-sun/genre16>	cluster250
<http://ml1m-sun/genre>	<http://ml1m-sun/genre17>	cluster253
<http://ml1m-sun/genre>	<http://ml1m-sun/genre18>	cluster255
<http://ml1m-sun/genre>	<http://ml1m-sun/genre19>	cluster251
<http://ml1m-sun/genre>	<http://ml1m-sun/genre1>	cluster251
<http://ml1m-sun/genre>	<http://ml1m-sun/genre20>	cluster253
<http://ml1m-sun/genre>	<http://ml1m-sun/genre21>	cluster255
<http://ml1m-sun/genre>	<http://ml1m-sun/genre22>	cluster253
<http://ml1m-sun/genre>	<http://ml1m-sun/genre23>	cluster253
<http://ml1m-sun/genre>	<http://ml1m-sun/genre2>	cluster255
<http://ml1m-sun/genre>	<http://ml1m-sun/genre3>	cluster254
<http://ml1m-sun/genre>	<http://ml1m-sun/genre4>	cluster252
<http://ml1m-sun/genre>	<http://ml1m-sun/genre5>	cluster252
<http://ml1m-sun/genre>	<http://ml1m-sun/genre6>	cluster250
<http://ml1m-sun/genre>	<http://ml1m-sun/genre7>	cluster252
<http://ml1m-sun/genre>	<http://ml1m-sun/genre8>	cluster255
<http://ml1m-sun/genre>	<http://ml1m-sun/genre9>	cluster254
<http://ml1m-sun/director>	<http://ml1m-sun/director0>	cluster25182
<http://ml1m-sun/director>	<http://ml1m-sun/director1000>	cluster2511
<http://ml1m-sun/director>	<http://ml1m-sun/director1001>	cluster25150
<http://ml1m-sun/director>	<http://ml1m-sun/director1002>	cluster2562
<http://ml1m-sun/director>	<http://ml1m-sun/director1003>	cluster2510
<http://ml1m-sun/director>	<http://ml1m-sun/director1004>	cluster2536
<http://ml1m-sun/director>	<http://ml1m-sun/director1005>	cluster25288
<http://ml1m-sun/director>	<http://ml1m-sun/director1006>	cluster2547
<http://ml1m-sun/director>	<http://ml1m-sun/director1007>	cluster2547
<http://ml1m-sun/director>	<http://ml1m-sun/director1008>	cluster25165
<http://ml1m-sun/director>	<http://ml1m-sun/director1009>	cluster2514
<http://ml1m-sun/director>	<http://ml1m-sun/director100>	cluster2513
<http://ml1m-sun/director>	<http://ml1m-sun/director1010>	cluster2590
<http://ml1m-sun/director>	<http://ml1m-sun/director1011>	cluster2528
<http://ml1m-sun/director>	<http://ml1m-sun/director1012>	cluster254
<http://ml1m-sun/director>	<http://ml1m-sun/director1013>	cluster2574
<http://ml1m-sun/director>	<http://ml1m-sun/director1014>	cluster25156
<http://ml1m-sun/director>	<http://ml1m-sun/director1015>	cluster25277
<http://ml1m-sun/director>	<http://ml1m-sun/director1016>	cluster25239
<http://ml1m-sun/director>	<http://ml1m-sun/director1017>	cluster25104
<http://ml1m-sun/director>	<http://ml1m-sun/director1018>	cluster25266
<http://ml1m-sun/director>	<http://ml1m-sun/director1019>	cluster25175
<http://ml1m-sun/director>	<http://ml1m-sun/director101>	cluster2569
<http://ml1m-sun/director>	<http://ml1m-sun/director1020>	cluster25175
<http://ml1m-sun/director>	<http://ml1m-sun/director1021>	cluster25246
<http://ml1m-sun/director>	<http://ml1m-sun/director1022>	cluster25250
<http://ml1m-sun/director>	<http://ml1m-sun/director1023>	cluster25156
<http://ml1m-sun/director>	<http://ml1m-sun/director1024>	cluster25253
<http://ml1m-sun/director>	<http://ml1m-sun/director1025>	cluster2582
<http://ml1m-sun/director>	<http://ml1m-sun/director1026>	cluster2582
<http://ml1m-sun/director>	<http://ml1m-sun/director1027>	cluster2563
<http://ml1m-sun/director>	<http://ml1m-sun/director1028>	cluster25102
<http://ml1m-sun/director>	<http://ml1m-sun/director1029>	cluster2588
<http://ml1m-sun/director>	<http://ml1m-sun/director102>	cluster255
<http://ml1m-sun/director>	<http://ml1m-sun/director1030>	cluster25207
<http://ml1m-sun/director>	<http://ml1m-sun/director1031>	cluster25207
<http://ml1m-sun/director>	<http://ml1m-sun/director1032>	cluster2596
<http://ml1m-sun/director>	<http://ml1m-sun/director1033>	cluster25121
<http://ml1m-sun/director>	<http://ml1m-sun/director1034>	cluster25141
<http://ml1m-sun/director>	<http://ml1m-sun/director1035>	cluster25258
<http://ml1m-sun/director>	<http://ml1m-sun/director1036>	cluster25177
<http://ml1m-sun/director>	<http://ml1m-sun/director1037>	cluster25288
